file_name_list,audio_features,lexical_features,Activation_Mean,Activation_SD,Valence_Mean,Valence_SD,Activation_Annotation,Valence_Annotation,C_Activation_Mean,C_Activation_SD,C_Valence_Mean,C_Valence_SD,C_Activation_Annotation,C_Valence_Annotation,S_Activation,S_Valence
01_DR-100_0079_1_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,3.125,1.35620268,5.75,0.70710678,4;2;6;3;3;3;2;2,6;5;5;6;7;5;6;6,3.875,1.45773797,6.75,0.88640526,2;4;2;5;3;5;6;4,6;6;6;6;8;8;7;7,7,8
01_DR-100_0079_1_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,3,1.60356745,5.125,0.83452296,3;2;6;4;2;4;1;2,5;5;4;4;6;6;5;6,3.75,1.28173989,5.625,1.40788595,2;3;3;6;3;5;4;4,6;4;5;5;4;7;6;8,7,8
01_DR-100_0079_1_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,2.875,1.24642345,6.5,1.06904497,2;3;3;1;3;5;4;2,6;8;7;6;5;6;8;6,3.875,1.55264751,7,1.30930734,2;3;2;6;3;5;5;5,7;6;5;6;9;8;7;8,7,8
01_DR-100_0079_1_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,2.75,1.28173989,5.375,0.51754917,4;2;5;3;3;2;1;2,5;6;5;5;6;6;5;5,3.625,1.50594062,6,0.75592895,2;3;2;5;3;5;6;3,6;6;5;5;7;6;7;6,7,8
01_DR-100_0079_1_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,3.33333333,1.93649167,5.33333333,0.70710678,1;5;3;5;2;2;7;2;3,5;6;5;6;5;6;4;6;5,4.25,1.38873015,6,0.75592895,3;3;3;6;3;5;6;5,6;6;5;5;6;6;7;7,7,8
01_DR-100_0079_1_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,3.75,2.05287255,6.125,1.12599163,2;1;3;6;7;5;3;3,6;7;7;5;5;6;5;8,3.875,1.35620268,7.125,1.12599163,2;3;3;6;3;5;5;4,6;7;6;6;9;8;7;8,7,8
01_DR-100_0079_1_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,3.875,1.45773797,6.125,1.35620268,6;5;3;4;4;5;2;2,7;7;5;7;5;6;8;4,3.875,1.64208056,7.125,1.12599163,2;3;2;6;3;5;6;4,6;7;6;6;9;8;7;8,7,8
01_DR-100_0079_1_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,2.77777778,1.20185043,5.66666667,0.70710678,1;3;5;3;2;2;4;2;3,5;5;5;7;6;5;6;6;6,3.625,1.59798981,6.625,1.40788595,2;3;2;4;2;5;6;5,6;6;5;5;9;7;8;7,7,8
01_DR-100_0079_1_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,3.11111111,1.53659074,6,1.22474487,2;2;4;4;6;2;4;3;1,7;7;4;7;7;6;4;6;6,3.75,1.66904592,6.75,1.38873015,2;3;2;4;3;5;7;4,5;7;6;5;9;8;7;7,7,8
01_DR-100_0079_1_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,2.25,1.16496475,5.5,0.75592895,2;2;2;2;2;1;2;5,6;6;6;4;5;6;5;6,3.625,1.30247018,6.125,0.83452296,2;3;2;5;3;5;5;4,6;6;5;5;7;7;7;6,7,8
01_DR-100_0079_1_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,2.75,1.38873015,5,1.06904497,2;2;2;2;6;3;3;2,3;5;5;6;5;6;6;4,3.625,1.50594062,5.875,0.99103121,2;3;2;6;3;5;5;3,6;6;5;4;6;7;7;6,7,8
01_DR-100_0079_3_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,3.25,1.83225076,5.5,0.75592895,2;2;6;2;5;3;5;1,6;6;5;6;4;6;6;5,3.375,1.99553072,5.25,1.16496475,2;5;4;4;7;2;2;1,7;6;6;5;5;5;5;3,3,3
01_DR-100_0079_3_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,2.5,1.19522861,4.5,1.41421356,2;4;3;1;3;4;2;1,3;6;5;2;5;4;6;5,3.375,1.59798981,5.75,1.48804762,2;5;5;4;5;3;2;1,7;4;7;8;5;5;4;6,3,3
01_DR-100_0079_3_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,2.625,1.40788595,4.25,1.28173989,2;1;5;3;1;2;4;3,6;3;4;5;4;3;6;3,3.625,1.59798981,4.375,1.18773494,2;5;5;3;6;4;2;2,6;3;6;4;5;4;4;3,3,3
01_DR-100_0079_3_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,2.5,1.30930734,6.75,1.03509834,1;2;2;1;3;3;3;5,6;7;6;7;9;7;6;6,3.625,1.59798981,6.25,1.03509834,2;5;5;4;6;3;2;2,6;7;6;8;5;5;6;7,3,3
01_DR-100_0079_3_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,2.125,1.24642345,5.625,0.91612538,2;4;1;2;1;1;2;4,6;5;5;7;5;5;5;7,3.375,1.68501802,6.5,0.9258201,2;5;4;3;6;4;2;1,6;8;6;8;6;6;6;6,3,3
01_DR-100_0079_3_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,3.625,1.30247018,4.875,0.99103121,2;5;3;5;3;2;5;4,5;6;6;5;5;3;4;5,3.625,1.30247018,5.625,0.51754917,2;5;5;4;5;3;3;2,6;6;6;6;5;5;5;6,3,3
01_DR-100_0079_3_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,2.375,1.30247018,6.625,1.18773494,5;2;1;2;1;2;3;3,7;6;5;9;7;6;6;7,3.375,1.50594062,6.5,0.75592895,2;5;4;3;6;3;2;2,6;8;6;7;6;6;6;7,3,3
01_DR-100_0079_3_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,2.5,0.75592895,6.625,0.74402381,2;2;3;4;2;2;2;3,6;7;7;7;8;6;6;6,3.625,1.40788595,6.875,0.83452296,2;5;5;4;5;4;2;2,7;8;6;8;6;6;7;7,3,3
