,file_name_list,audio_features,lexical_features,activation_mean,valence_mean,c_activation_mean,c_valence_mean,s_activation,s_valence
0,01_DR-100_0079_1_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
1,01_DR-100_0079_1_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
2,01_DR-100_0079_1_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
3,01_DR-100_0079_1_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
4,01_DR-100_0079_1_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
5,01_DR-100_0079_1_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
6,01_DR-100_0079_1_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
7,01_DR-100_0079_1_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
8,01_DR-100_0079_1_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
9,01_DR-100_0079_1_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
10,01_DR-100_0079_1_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
11,01_DR-100_0079_3_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,1,0,1,0,0
12,01_DR-100_0079_3_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,1,0,2,0,0
13,01_DR-100_0079_3_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,0,0,0,0,0
14,01_DR-100_0079_3_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
15,01_DR-100_0079_3_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
16,01_DR-100_0079_3_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,1,0,2,0,0
17,01_DR-100_0079_3_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
18,01_DR-100_0079_3_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
19,01_DR-100_0079_3_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
20,01_DR-100_0079_3_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
21,01_DR-100_0079_5_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,1,0,1,1,0
22,01_DR-100_0079_5_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,1,1,0
23,01_DR-100_0079_5_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,0,0,1,1,0
24,01_DR-100_0079_5_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,1,1,0
25,01_DR-100_0079_5_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,2,1,0
26,01_DR-100_0079_5_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,1,0,0,1,0
27,01_DR-100_0079_5_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,1,1,0
28,01_DR-100_0079_7_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
29,01_DR-100_0079_7_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,0,0,0,2,2
30,01_DR-100_0079_7_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
31,01_DR-100_0079_7_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,1,0,1,2,2
32,01_DR-100_0079_7_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,1,0,2,2,2
33,01_DR-100_0079_7_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
34,01_DR-100_0079_7_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
35,01_DR-100_0079_7_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
36,01_DR-100_0079_7_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
37,01_DR-100_0079_7_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
