file_name_list,audio_features,lexical_features,activation_mean,valence_mean,c_activation_mean,c_valence_mean,s_activation,s_valence
01_DR-100_0079_1_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
01_DR-100_0079_1_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
01_DR-100_0079_1_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
01_DR-100_0079_1_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
01_DR-100_0079_1_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
01_DR-100_0079_1_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
01_DR-100_0079_1_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
01_DR-100_0079_1_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
01_DR-100_0079_1_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,2,0,2,2,2
01_DR-100_0079_1_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
01_DR-100_0079_1_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy,0,1,0,2,2,2
01_DR-100_0079_3_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,1,0,1,0,0
01_DR-100_0079_3_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,1,0,2,0,0
01_DR-100_0079_3_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,0,0,0,0,0
01_DR-100_0079_3_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
01_DR-100_0079_3_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
01_DR-100_0079_3_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,1,0,2,0,0
01_DR-100_0079_3_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
01_DR-100_0079_3_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
01_DR-100_0079_3_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
01_DR-100_0079_3_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,0,2,0,2,0,0
01_DR-100_0079_5_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,1,0,1,1,0
01_DR-100_0079_5_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,1,1,0
01_DR-100_0079_5_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,0,0,1,1,0
01_DR-100_0079_5_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,1,1,0
01_DR-100_0079_5_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,2,1,0
01_DR-100_0079_5_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,1,0,0,1,0
01_DR-100_0079_5_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,0,2,0,1,1,0
01_DR-100_0079_7_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
01_DR-100_0079_7_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,0,0,0,2,2
01_DR-100_0079_7_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
01_DR-100_0079_7_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,1,0,1,2,2
01_DR-100_0079_7_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,1,0,2,2,2
01_DR-100_0079_7_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
01_DR-100_0079_7_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
01_DR-100_0079_7_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
01_DR-100_0079_7_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
01_DR-100_0079_7_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,2,0,2,2,2
01_DR-100_0079_7_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,0,1,0,2,2,2
02_DR-100_0070_1_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,2,0,2,2,2
02_DR-100_0070_1_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,1,0,2,2,2
02_DR-100_0070_1_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,2,0,2,2,2
02_DR-100_0070_1_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,2,0,2,2,2
02_DR-100_0070_1_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,1,0,2,2,2
02_DR-100_0070_1_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,2,0,2,2,2
02_DR-100_0070_1_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,1,0,2,2,2
02_DR-100_0070_1_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,2,0,2,2,2
02_DR-100_0070_1_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,0,1,0,1,2,2
02_DR-100_0070_3_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,0,1,0,1,2,2
02_DR-100_0070_3_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,0,2,0,1,2,2
02_DR-100_0070_3_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,0,1,0,1,2,2
02_DR-100_0070_3_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,0,1,0,1,2,2
02_DR-100_0070_3_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,0,1,0,2,2,2
02_DR-100_0070_3_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,0,1,0,1,2,2
