,file_name_list,audio_features,lexical_features
0,01_DR-100_0079_1_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
1,01_DR-100_0079_1_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
2,01_DR-100_0079_1_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
3,01_DR-100_0079_1_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
4,01_DR-100_0079_1_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
5,01_DR-100_0079_1_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
6,01_DR-100_0079_1_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
7,01_DR-100_0079_1_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
8,01_DR-100_0079_1_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
9,01_DR-100_0079_1_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
10,01_DR-100_0079_1_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_1_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_1.npy
11,01_DR-100_0079_3_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
12,01_DR-100_0079_3_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
13,01_DR-100_0079_3_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
14,01_DR-100_0079_3_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
15,01_DR-100_0079_3_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
16,01_DR-100_0079_3_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
17,01_DR-100_0079_3_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
18,01_DR-100_0079_3_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
19,01_DR-100_0079_3_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
20,01_DR-100_0079_3_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy
21,01_DR-100_0079_5_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy
22,01_DR-100_0079_5_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy
23,01_DR-100_0079_5_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy
24,01_DR-100_0079_5_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy
25,01_DR-100_0079_5_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy
26,01_DR-100_0079_5_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy
27,01_DR-100_0079_5_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy
28,01_DR-100_0079_7_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
29,01_DR-100_0079_7_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
30,01_DR-100_0079_7_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
31,01_DR-100_0079_7_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
32,01_DR-100_0079_7_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
33,01_DR-100_0079_7_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
34,01_DR-100_0079_7_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
35,01_DR-100_0079_7_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
36,01_DR-100_0079_7_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
37,01_DR-100_0079_7_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
38,01_DR-100_0079_7_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy
39,01_DR-100_0097_1_sentence_1_ns,../muse_features/muse_audio_features\01_DR-100_0097_1_sentence_1_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_1.npy
40,01_DR-100_0097_1_sentence_2_ns,../muse_features/muse_audio_features\01_DR-100_0097_1_sentence_2_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_1.npy
41,01_DR-100_0097_1_sentence_3_ns,../muse_features/muse_audio_features\01_DR-100_0097_1_sentence_3_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_1.npy
42,01_DR-100_0097_1_sentence_4_ns,../muse_features/muse_audio_features\01_DR-100_0097_1_sentence_4_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_1.npy
43,01_DR-100_0097_1_sentence_5_ns,../muse_features/muse_audio_features\01_DR-100_0097_1_sentence_5_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_1.npy
44,01_DR-100_0097_1_sentence_6_ns,../muse_features/muse_audio_features\01_DR-100_0097_1_sentence_6_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_1.npy
45,01_DR-100_0097_1_sentence_7_ns,../muse_features/muse_audio_features\01_DR-100_0097_1_sentence_7_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_1.npy
46,01_DR-100_0097_3_sentence_10_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_10_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
47,01_DR-100_0097_3_sentence_1_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_1_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
48,01_DR-100_0097_3_sentence_2_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_2_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
49,01_DR-100_0097_3_sentence_3_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_3_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
50,01_DR-100_0097_3_sentence_4_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_4_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
51,01_DR-100_0097_3_sentence_5_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_5_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
52,01_DR-100_0097_3_sentence_6_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_6_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
53,01_DR-100_0097_3_sentence_7_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_7_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
54,01_DR-100_0097_3_sentence_8_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_8_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
55,01_DR-100_0097_3_sentence_9_ns,../muse_features/muse_audio_features\01_DR-100_0097_3_sentence_9_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_3.npy
